Date of Census,Total Individuals in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adult Families in Shelter
07/17/2023,81957,21636,16490,2905
07/16/2023,81848,21538,16491,2891
07/15/2023,81808,21467,16508,2895
07/14/2023,81725,21529,16477,2891
07/13/2023,81916,21638,16505,2894
07/12/2023,81603,21523,16445,2887
07/11/2023,81494,21551,16411,2893
07/10/2023,81330,21505,16369,2909
07/09/2023,81381,21683,16337,2881
07/08/2023,81336,21672,16329,2887
07/07/2023,81404,21687,16308,2922
07/06/2023,81397,21754,16287,2918
07/05/2023,81574,21869,16306,2935
07/04/2023,81147,21664,16246,2946
07/03/2023,81170,21736,16239,2927
07/02/2023,80982,21638,16204,2927
07/01/2023,81070,21586,16240,2948
06/30/2023,81066,21614,16232,2949
06/29/2023,81180,21747,16228,2951
06/28/2023,81081,21798,16181,2948
06/27/2023,81190,21857,16194,2960
06/26/2023,80931,21824,16129,2970
06/25/2023,80971,21816,16134,2977
06/24/2023,80900,21848,16101,2985
06/23/2023,80741,21882,16030,2995
06/22/2023,80889,21903,16072,3007
06/21/2023,80802,21963,16029,2999
06/20/2023,80620,22012,15961,2996
06/19/2023,80565,21939,15971,2995
06/18/2023,80370,21872,15924,2997
06/17/2023,80582,22029,15937,3013
06/16/2023,80647,22121,15926,3017
06/15/2023,80443,22199,15843,3022
06/14/2023,80613,22234,15880,3033
06/13/2023,80582,22238,15861,3041
06/12/2023,80449,22234,15816,3036
06/11/2023,80379,22168,15814,3053
06/10/2023,80601,22174,15881,3061
06/09/2023,80643,22235,15870,3059
06/08/2023,80661,22236,15869,3061
06/07/2023,80611,22278,15837,3055
06/06/2023,80605,22276,15846,3044
06/05/2023,80387,22281,15774,3034
06/04/2023,80568,22428,15788,3040
06/03/2023,80709,22395,15833,3055
06/02/2023,80679,22443,15794,3068
06/01/2023,81251,22672,15898,3076
05/31/2023,81145,22688,15864,3077
05/30/2023,81144,22754,15840,3071
05/29/2023,81132,22676,15847,3087
05/28/2023,81058,22699,15815,3095
05/27/2023,81148,22740,15836,3092
05/26/2023,81224,22819,15830,3101
05/25/2023,81434,22832,15885,3101
05/24/2023,81461,22838,15901,3096
05/23/2023,81432,22892,15878,3095
05/22/2023,81416,22872,15874,3090
05/21/2023,81377,22978,15843,3065
05/20/2023,81443,23036,15846,3064
05/19/2023,81232,23038,15788,3070
05/18/2023,80799,23161,15630,3059
05/17/2023,80736,23094,15648,3047
05/16/2023,80278,23052,15535,3025
05/15/2023,79858,23004,15434,3000
05/14/2023,79762,22899,15421,3018
05/13/2023,79670,22818,15420,3009
05/12/2023,79554,22836,15382,3003
05/11/2023,79438,22891,15339,3011
05/10/2023,79115,22819,15266,3004
05/09/2023,78763,22717,15185,3015
05/08/2023,78630,22743,15150,3004
05/07/2023,78573,22658,15165,3015
05/06/2023,78415,22709,15100,3008
05/05/2023,78156,22743,15003,3018
05/04/2023,77923,22712,14939,3011
05/03/2023,77429,22641,14836,2986
05/02/2023,77419,22601,14856,2967
05/01/2023,77020,22603,14744,2978
04/30/2023,76843,22577,14733,2943
04/29/2023,76668,22549,14689,2954
04/28/2023,76418,22456,14647,2956
04/27/2023,76158,22454,14578,2937
04/26/2023,76030,22494,14533,2929
04/25/2023,75735,22463,14475,2908
04/24/2023,75551,22450,14427,2906
04/23/2023,75442,22313,14430,2901
04/22/2023,75319,22240,14426,2898
04/21/2023,75173,22244,14385,2889
04/20/2023,75093,22221,14370,2902
04/19/2023,74886,22196,14334,2886
04/18/2023,74656,22170,14272,2882
04/17/2023,74451,22053,14238,2886
04/16/2023,74357,22011,14217,2890
04/15/2023,74083,21964,14162,2884
04/14/2023,74031,21975,14130,2887
04/13/2023,73835,21910,14092,2883
04/12/2023,73814,22001,14056,2880
04/11/2023,73770,22067,14025,2866
04/10/2023,73868,22043,14079,2866
04/09/2023,73891,22060,14072,2870
04/08/2023,73700,22005,14034,2852
04/07/2023,73560,21979,14011,2853
04/06/2023,73481,21912,14009,2850
04/05/2023,73259,21923,13944,2835
04/04/2023,73333,21929,13961,2849
04/03/2023,73273,21984,13948,2840
04/02/2023,73091,21933,13917,2824
04/01/2023,72845,21787,13889,2825
03/31/2023,72854,21785,13890,2830
03/30/2023,72829,21844,13866,2827
03/29/2023,72731,21864,13845,2805
03/28/2023,72522,21756,13809,2808
03/27/2023,72449,21780,13786,2805
03/26/2023,72292,21679,13763,2804
03/25/2023,72179,21642,13731,2805
03/24/2023,72209,21587,13787,2792
03/23/2023,72107,21578,13761,2796
03/22/2023,72224,21774,13746,2790
03/21/2023,71996,21685,13705,2780
03/20/2023,71742,21659,13648,2762
03/19/2023,71696,21603,13646,2762
03/18/2023,71529,21504,13618,2774
03/17/2023,71395,21470,13591,2784
03/16/2023,71286,21486,13551,2787
03/15/2023,71237,21482,13554,2777
03/14/2023,71220,21513,13539,2763
03/13/2023,71025,21432,13513,2766
03/12/2023,70941,21357,13502,2770
03/11/2023,70908,21329,13496,2778
03/10/2023,71018,21358,13518,2779
03/10/2023,71018,21358,13518,2779
03/09/2023,71176,21428,13529,2782
03/08/2023,71024,21407,13483,2770
03/07/2023,71077,21399,13518,2778
03/06/2023,70951,21358,13481,2782
03/05/2023,70860,21275,13489,2770
03/04/2023,70767,21195,13486,2774
03/03/2023,70755,21126,13484,2792
03/02/2023,70734,21168,13456,2797
03/01/2023,70848,21216,13485,2793
02/28/2023,70860,21217,13483,2792
02/27/2023,70788,21272,13441,2788
02/26/2023,70912,21201,13500,2783
02/25/2023,70904,21150,13508,2799
02/24/2023,70885,21165,13501,2798
02/23/2023,70784,21167,13461,2807
02/22/2023,70810,21217,13445,2823
02/21/2023,70774,21189,13446,2824
02/20/2023,70509,21176,13370,2818
02/19/2023,70645,21176,13419,2826
02/18/2023,70601,21106,13419,2827
02/17/2023,70481,21071,13388,2827
02/16/2023,70481,21134,13375,2821
02/15/2023,70306,21005,13355,2817
02/14/2023,70461,21079,13378,2833
02/13/2023,70494,21085,13372,2836
02/12/2023,70648,21147,13399,2834
02/11/2023,70750,21128,13436,2833
02/10/2023,70758,21123,13449,2833
02/09/2023,70700,21131,13431,2833
02/08/2023,70683,21156,13407,2825
02/07/2023,70665,21145,13408,2824
